2, 3162, Note_on_c, 0, 48, 0
2, 3170, Note_on_c, 0, 47, 0
2, 3177, Note_on_c, 0, 45, 0
2, 36480, Control_c, 0, 10, 110
2, 36720, Program_c, 0, 72
2, 36960, Note_on_c, 0, 83, 127
2, 37024, Note_on_c, 0, 83, 0
2, 37080, Note_on_c, 0, 84, 127
2, 37144, Note_on_c, 0, 84, 0
2, 37200, Note_on_c, 0, 84, 127
2, 37264, Note_on_c, 0, 84, 0
2, 37280, Note_on_c, 0, 81, 127
2, 37344, Note_on_c, 0, 81, 0
2, 37360, Note_on_c, 0, 86, 127
2, 37424, Note_on_c, 0, 86, 0
2, 37440, Note_on_c, 0, 87, 127
2, 37504, Note_on_c, 0, 87, 0
2, 37560, Note_on_c, 0, 79, 127
2, 37624, Note_on_c, 0, 79, 0
2, 37680, Note_on_c, 0, 79, 127
2, 37744, Note_on_c, 0, 79, 0
2, 37760, Note_on_c, 0, 81, 127
2, 37824, Note_on_c, 0, 81, 0
2, 37840, Note_on_c, 0, 77, 127
2, 37904, Note_on_c, 0, 77, 0
2, 37920, Note_on_c, 0, 76, 127
2, 38023, Note_on_c, 0, 76, 0
2, 38080, Note_on_c, 0, 79, 127
2, 38183, Note_on_c, 0, 79, 0
2, 38240, Note_on_c, 0, 79, 127
2, 38343, Note_on_c, 0, 79, 0
2, 38400, Note_on_c, 0, 76, 127
2, 38503, Note_on_c, 0, 76, 0
2, 38560, Note_on_c, 0, 76, 127
2, 38663, Note_on_c, 0, 76, 0
2, 38720, Note_on_c, 0, 86, 127
2, 38823, Note_on_c, 0, 86, 0
2, 38880, Note_on_c, 0, 85, 127
2, 41280, Note_on_c, 0, 85, 0
2, 43680, Note_on_c, 0, 83, 127
2, 43980, Note_on_c, 0, 83, 0
2, 43980, Note_on_c, 0, 81, 127
2, 44040, Note_on_c, 0, 81, 0
2, 44040, Note_on_c, 0, 80, 127
2, 44100, Note_on_c, 0, 80, 0
2, 44100, Note_on_c, 0, 86, 127
2, 44160, Note_on_c, 0, 86, 0
2, 44160, Note_on_c, 0, 76, 127
2, 44240, Note_on_c, 0, 76, 0
2, 44240, Note_on_c, 0, 83, 127
2, 44320, Note_on_c, 0, 83, 0
2, 44320, Note_on_c, 0, 81, 127
2, 44400, Note_on_c, 0, 81, 0
2, 44400, Note_on_c, 0, 85, 127
2, 44448, Note_on_c, 0, 85, 0
2, 44448, Note_on_c, 0, 81, 127
2, 44496, Note_on_c, 0, 81, 0
2, 44496, Note_on_c, 0, 81, 127
2, 44544, Note_on_c, 0, 81, 0
2, 44544, Note_on_c, 0, 83, 127
2, 44592, Note_on_c, 0, 83, 0
2, 44592, Note_on_c, 0, 80, 127
2, 44640, Note_on_c, 0, 80, 0
2, 44736, Note_on_c, 0, 85, 127
2, 44832, Note_on_c, 0, 85, 0
2, 44832, Note_on_c, 0, 78, 127
2, 44928, Note_on_c, 0, 78, 0
2, 44928, Note_on_c, 0, 83, 127
2, 45024, Note_on_c, 0, 83, 0
2, 45024, Note_on_c, 0, 80, 127
2, 45120, Note_on_c, 0, 80, 0
2, 45120, Note_on_c, 0, 92, 127
2, 45216, Note_on_c, 0, 92, 0
2, 45216, Note_on_c, 0, 90, 127
2, 45312, Note_on_c, 0, 90, 0
2, 45312, Note_on_c, 0, 85, 127
2, 45408, Note_on_c, 0, 85, 0
2, 45408, Note_on_c, 0, 88, 127
2, 45504, Note_on_c, 0, 88, 0
2, 45504, Note_on_c, 0, 78, 127
2, 45600, Note_on_c, 0, 78, 0
2, 45600, Note_on_c, 0, 92, 127
2, 45696, Note_on_c, 0, 92, 0
2, 45696, Note_on_c, 0, 90, 127
2, 45792, Note_on_c, 0, 90, 0
2, 45792, Note_on_c, 0, 85, 127
2, 45888, Note_on_c, 0, 85, 0
2, 45888, Note_on_c, 0, 88, 127
2, 45984, Note_on_c, 0, 88, 0
2, 45984, Note_on_c, 0, 78, 127
2, 46034, Note_on_c, 0, 78, 0
2, 46080, Note_on_c, 0, 78, 127
2, 47956, Note_on_c, 0, 78, 0
2, 48480, Note_on_c, 0, 92, 127
2, 48540, Note_on_c, 0, 92, 0
2, 48540, Note_on_c, 0, 93, 127
2, 48600, Note_on_c, 0, 93, 0
2, 48600, Note_on_c, 0, 92, 127
2, 48660, Note_on_c, 0, 92, 0
2, 48720, Note_on_c, 0, 92, 127
2, 48780, Note_on_c, 0, 92, 0
2, 48780, Note_on_c, 0, 93, 127
2, 48840, Note_on_c, 0, 93, 0
2, 48840, Note_on_c, 0, 90, 127
2, 48900, Note_on_c, 0, 90, 0
2, 48960, Note_on_c, 0, 92, 127
2, 49020, Note_on_c, 0, 92, 0
2, 49080, Note_on_c, 0, 83, 127
2, 49140, Note_on_c, 0, 83, 0
2, 49140, Note_on_c, 0, 93, 127
2, 49200, Note_on_c, 0, 93, 0
2, 49200, Note_on_c, 0, 90, 127
2, 49260, Note_on_c, 0, 90, 0
2, 49260, Note_on_c, 0, 85, 127
2, 49320, Note_on_c, 0, 85, 0
2, 49320, Note_on_c, 0, 95, 127
2, 49380, Note_on_c, 0, 95, 0
2, 49380, Note_on_c, 0, 90, 127
2, 49440, Note_on_c, 0, 90, 0
2, 49440, Note_on_c, 0, 92, 127
2, 49500, Note_on_c, 0, 92, 0
2, 49500, Note_on_c, 0, 88, 127
2, 49560, Note_on_c, 0, 88, 0
2, 49560, Note_on_c, 0, 88, 127
2, 49620, Note_on_c, 0, 88, 0
2, 49620, Note_on_c, 0, 85, 127
2, 49680, Note_on_c, 0, 85, 0
2, 49680, Note_on_c, 0, 90, 127
2, 49740, Note_on_c, 0, 90, 0
2, 49740, Note_on_c, 0, 92, 127
2, 49800, Note_on_c, 0, 92, 0
2, 49800, Note_on_c, 0, 92, 127
2, 49860, Note_on_c, 0, 92, 0
2, 49860, Note_on_c, 0, 95, 127
2, 49920, Note_on_c, 0, 95, 0
2, 49920, Note_on_c, 0, 93, 127
2, 49980, Note_on_c, 0, 93, 0
2, 49980, Note_on_c, 0, 92, 127
2, 50040, Note_on_c, 0, 92, 0
2, 50040, Note_on_c, 0, 92, 127
2, 50100, Note_on_c, 0, 92, 0
2, 50100, Note_on_c, 0, 95, 127
2, 50160, Note_on_c, 0, 95, 0
2, 50160, Note_on_c, 0, 90, 127
2, 50220, Note_on_c, 0, 90, 0
2, 50220, Note_on_c, 0, 78, 127
2, 50280, Note_on_c, 0, 78, 0
2, 50280, Note_on_c, 0, 78, 127
2, 50340, Note_on_c, 0, 78, 0
2, 50340, Note_on_c, 0, 83, 127
2, 50400, Note_on_c, 0, 83, 0
2, 50400, Note_on_c, 0, 85, 127
2, 50460, Note_on_c, 0, 85, 0
2, 50460, Note_on_c, 0, 81, 127
2, 50520, Note_on_c, 0, 81, 0
2, 50520, Note_on_c, 0, 83, 127
2, 50580, Note_on_c, 0, 83, 0
2, 50580, Note_on_c, 0, 88, 127
2, 50640, Note_on_c, 0, 88, 0
2, 50640, Note_on_c, 0, 92, 127
2, 50700, Note_on_c, 0, 92, 0
2, 50700, Note_on_c, 0, 78, 127
2, 50760, Note_on_c, 0, 78, 0
2, 50760, Note_on_c, 0, 83, 127
2, 50820, Note_on_c, 0, 83, 0
2, 50820, Note_on_c, 0, 85, 127
